Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents
永 續 企業,15,15,210,21,0.67,https://csrone.com/consultants/27,1,0.02,0.00,0.22,28000000,"[66,66,66,53,66,100,81,81,53,66,66,66]",2022-11-27,"Knowledge panel, Site links, FAQ",informational
責任 投資 原則,15,15,110,24,0.88,https://csrone.com/insights/un-pri-investing-with-sdg-outcomes,0,0,0.00,0.04,22800000,"[100,82,100,64,64,100,64,100,100,82,100,100]",2022-11-17,"Knowledge panel, Image pack",informational
工 信 工程 股份 有限 公司,15,15,140,27,0.00,https://csrone.com/companies/433,0,0,0.00,0.01,13000000,"[100,65,82,65,53,53,82,82,65,82,82,82]",2022-11-06,"Knowledge panel, Image pack, Site links, Reviews, Image, FAQ","informational, transactional"
iso 20121,15,15,140,22,0.00,https://csrone.com/courses/10,0,0,0.00,0.01,8390000,"[52,67,52,43,52,100,81,67,67,67,67,100]",2022-11-04,"Site links, Image",informational
台灣 浩 鼎 生 技 股份 有限 公司,15,15,480,26,0.00,https://csrone.com/companies/314,2,0.04,0.00,0.01,99,"[19,36,44,44,55,82,100,55,44,44,36,44]",2022-11-03,"Knowledge panel, Image pack, Reviews, Video, FAQ",informational
b 型 企業 王道 銀行,15,15,70,22,0.00,https://csrone.com/news/4499,0,0,0.00,0,77,"[11,11,11,11,0,0,100,0,11,11,0,0]",2022-11-13,"Image pack, Reviews, Video, AdWords bottom",informational
長春 石油 化學 股份 有限 公司,15,15,720,17,0.00,https://csrone.com/companies/1135,3,0.06,0.00,0,8260000,"[67,67,67,67,82,82,67,100,82,67,82,82]",2022-11-19,"Knowledge panel, Local pack, Site links, Reviews, Image",commercial
大 展 證券 股份 有限 公司,15,15,140,28,0.00,https://csrone.com/companies/591,0,0,0.00,0.01,76,"[19,19,19,35,42,100,65,42,54,54,65,54]",2022-11-12,"Local pack, Image pack, Site links, Reviews, Video, Image",navigational
櫻花 建設 股份 有限 公司,15,15,90,28,0.00,https://csrone.com/companies/1468,0,0,0.00,0,86,"[7,2,2,2,2,2,2,2,2,24,19,100]",2022-11-11,"Knowledge panel, Local pack, Image pack, Site links, Reviews, Image",commercial
國 瑞 汽車 觀音 廠,15,15,1000,25,0.00,https://csrone.com/companies/286,5,0.1,0.00,0,13300000,"[3,4,4,5,3,25,54,67,67,79,79,100]",2022-11-15,"Knowledge panel, Image pack, Image, Video Carousel, FAQ",navigational
線上 培訓,15,15,70,17,0.67,https://csrone.com/events/822,0,0,0.00,0.43,11300000,"[57,14,100,57,14,14,100,43,14,14,14,29]",2022-11-12,"Site links, Video, AdWords bottom",informational
敦 南 科技 股份 有限 公司,15,15,480,27,0.43,https://csrone.com/companies/1117,2,0.04,1.00,0.01,1610000,"[29,36,54,54,44,100,67,67,100,82,100,100]",2022-11-25,"Knowledge panel, Local pack, Site links, Reviews, Image, FAQ",commercial
亞洲 聚合,15,15,210,25,0.00,https://csrone.com/companies/502,0,0,0.00,0,15400000,"[65,81,54,65,65,54,81,65,100,81,100,100]",2022-11-03,"Knowledge panel, Site links, Reviews, Video, Image","informational, navigational"
台北 設計 獎,15,15,720,19,0.00,https://csrone.com/events/750,0,0,0.00,0,30100000,"[25,31,11,9,11,11,31,46,53,100,84,21]",2022-11-18,"Image pack, Site links","informational, navigational"
大眾 證券,15,15,170,29,0.70,https://csrone.com/companies/629,0,0,0.00,0.02,16700000,"[81,81,65,100,65,65,54,54,54,65,65,54]",2022-11-22,"Knowledge panel, Local pack, Image pack, Reviews, Image",commercial
欣 陸 投資 控股 股份 有限 公司,15,15,170,21,0.00,https://csrone.com/reports/4562,0,0,0.00,0,975000,"[34,34,22,53,53,100,44,81,44,44,66,81]",2022-11-24,"Knowledge panel, Reviews, FAQ",informational
永 續 論壇,15,15,90,28,0.81,https://csrone.com/events/890,0,0,0.00,0.19,88,"[50,100,36,79,36,64,64,50,50,100,100,100]",2022-11-20,"Image pack, Site links",informational
希 華 晶體 科技,15,15,110,25,0.00,https://csrone.com/reports/3593,0,0,0.00,0,92,"[50,79,64,64,50,50,79,100,100,100,100,79]",2022-11-02,"Knowledge panel, Local pack, Image pack, Site links, Reviews, Video, Image, FAQ","informational, navigational"
碳 權,15,15,4400,29,0.45,https://csrone.com/topics/7524,22,0.47,9.00,0.11,89,"[67,82,100,67,44,67,67,67,82,55,55,55]",2022-11-18,"Image pack, Video Carousel",informational
電力 排放 係數,15,15,320,26,0.00,https://csrone.com/topics/7380,1,0.02,0.00,0,1120000,"[54,67,54,44,54,44,81,67,81,81,100,100]",2022-11-02,"Image pack, Featured snippet",informational
揚 明 光學 股份 有限 公司,15,15,170,28,0.00,https://csrone.com/companies/373,0,0,0.00,0,95,"[65,65,65,54,54,42,81,81,100,65,100,65]",2022-11-03,"Knowledge panel, Image pack, Site links, Reviews, Video, Image","informational, transactional"
展 宇 科技 材料 股份 有限 公司,15,15,320,26,0.00,https://csrone.com/companies/1030,0,0,0.00,0,6710000,"[19,29,29,29,35,67,81,81,81,100,100,81]",2022-11-12,"Knowledge panel, Site links, Reviews, FAQ",navigational
綠色 行銷,15,15,390,16,0.29,https://csrone.com/topics/6653,1,0.02,0.00,0.05,24600000,"[100,81,54,36,36,54,81,81,54,44,36,81]",2022-11-22,"Reviews, Video",informational
臺灣 永 續 指數,14,14,90,17,1.37,https://csrone.com/topics/5526,0,0,0.00,0.1,5530000,"[79,79,79,100,64,50,79,50,64,100,64,50]",2022-11-01,Reviews,informational
崇 越 電通 股份 有限 公司,14,14,260,29,0.00,https://csrone.com/companies/1105,0,0,0.00,0,98,"[36,44,44,54,44,82,67,54,67,82,100,67]",2022-11-15,"Knowledge panel, Site links, Reviews, FAQ",navigational
元 禎 企業 股份 有限 公司,14,14,260,27,0.00,https://csrone.com/companies/572,0,0,0.00,0,78,"[29,23,29,29,44,44,100,54,67,54,67,81]",2022-11-05,"Knowledge panel, Local pack, Image pack, Site links, Reviews, Video, Image, FAQ",navigational
環 泰 企業 股份 有限 公司,14,14,260,28,0.00,https://csrone.com/companies/571,0,0,0.00,0,10900000,"[28,28,28,44,44,36,67,82,67,82,100,100]",2022-11-06,"Local pack, Image pack, Site links, Reviews, Image",navigational
彰 源 企業,14,14,140,24,0.00,https://csrone.com/reports/4837,0,0,0.00,0,3560000,"[100,52,81,67,67,52,100,81,81,52,52,67]",2022-11-01,"Knowledge panel, Reviews, Video, Image",navigational
