Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents
乾淨 的 煤 ptt,15,15,210,14,0.00,https://csrone.com/news/4728,1,0.02,0.00,0,61,"[100,6,5,6,4,4,4,6,9,3,1,1]",2022-11-26,"Image pack, Site links, Reviews",informational
大 數據 big data 分析 的 標的 來源 為何,15,15,70,14,0.30,https://csrone.com/topics/6060,0,0,0.00,0.14,45,"[4,27,8,54,12,8,35,4,100,8,4,8]",2022-11-12,"Image pack, Reviews, FAQ",informational
社會 影響 力,14,14,260,10,0.00,https://csrone.com/topics/5652,1,0.02,0.00,0,43600000,"[82,82,82,67,54,100,82,82,67,54,54,67]",2022-11-25,"Image pack, Site links",informational
2017 人 資 議題,14,14,70,12,0.00,https://csrone.com/topics/4439,0,0,0.00,0,7170000,"[0,0,0,0,100,0,0,0,0,0,0,0]",2022-11-14,"Image pack, Site links, Reviews",informational
社會 影響 力,13,13,260,10,0.00,https://csrone.com/topics/1637,2,0.04,0.00,0,43600000,"[82,82,82,67,54,100,82,82,67,54,54,67]",2022-11-25,"Image pack, Site links",informational
台灣 永 續 指數,12,12,210,13,2.44,https://csrone.com/topics/5526,2,0.04,6.00,0.09,88,"[54,67,100,44,36,54,54,54,54,36,44,36]",2022-11-20,"Reviews, FAQ",informational
健康 建築,11,11,140,10,0.00,https://csrone.com/news/6397,6,0.12,0.00,0.04,352000000,"[54,100,65,35,42,27,35,42,54,42,54,54]",2022-11-04,"Image pack, Video, Video Carousel",informational
溫室 氣體 排放 量 盤查 登錄 管理 辦法,11,11,140,13,0.00,https://csrone.com/news/2176,6,0.12,0.00,0,73,"[33,43,33,43,43,100,67,67,67,67,81,100]",2022-11-12,"Image pack, Reviews",informational
陳耀德,10,10,110,13,0.00,https://csrone.com/topics/7205,3,0.06,0.00,0,86,"[65,53,65,53,65,53,100,53,82,82,82,100]",2022-11-06,"Image pack, Video, Image",informational
社會 影響 力 評估,9,9,110,14,0.00,https://csrone.com/topics/5652,3,0.06,0.00,0,24900000,"[53,65,82,65,53,41,65,100,82,65,53,53]",2022-11-02,Video,informational
晟 銘 電子 科技 股份 有限 公司,8,8,110,14,0.00,https://csrone.com/companies/865,3,0.06,0.00,0,1410000,"[65,53,53,65,65,53,65,65,65,65,82,100]",2022-11-06,"Knowledge panel, Image pack, Site links, Reviews, Image",commercial
企業 獎項,7,7,90,14,0.00,https://csrone.com/awards,3,0.06,0.00,0,27200000,"[4,100,4,4,8,4,27,4,15,4,4,8]",2022-11-10,"Image pack, Video",informational
ott 娛樂,6,6,90,14,0.00,https://csrone.com/news/6389,4,0.08,0.00,0,2920000,"[11,11,56,100,11,11,33,11,11,44,11,44]",2022-11-09,"Image pack, Reviews, Video",informational
iso 20121 活動 永 續 管理 系統,5,5,70,10,0.00,https://csrone.com/courses/10,3,0.06,0.00,0.09,96,"[25,25,25,25,25,50,100,25,25,25,50,25]",2022-11-15,"Image pack, Reviews, Video, AdWords bottom",informational
氣候 風險,4,4,140,14,0.00,https://csrone.com/topics/6501,9,0.19,0.00,0.02,20100000,"[65,53,100,82,65,82,82,65,65,53,82,82]",2022-11-12,Video,informational
